time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,Q,T (C),S_H_ion,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_co2,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2
100.4583333,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.4791667,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.5,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.5208333,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.5416667,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.5625,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.5833333,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.6041667,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.625,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.6458333,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.6666667,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.6875,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.7083333,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.7291667,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.75,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.7708333,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.7916667,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.8125,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.8333333,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.8541667,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.875,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.8958333,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.9166667,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.9375,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.9583333,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
100.9791667,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
101,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
101.0208333,0,0.0468616,0,0,0,0,0,0.00E+00,0.00E+00,0.0079075,0.0019674,0.02,0,3.7244,16.2784,8.0068,0,0,0,0,0,0,0,17.0172,0,0.0052,680,35,1,0,0,0,0,0,0,0,0,0,0,0
